,#,Name_with_Channel_id,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,Name,ChannelId,subscriber_count,view_count,video_count
54,56,Kruger Park Sightings @UCYxhhlA-a4_9241xgN6_hdg,345K,-,South Africa,,103.5K,Kruger Park Sightings ,UCYxhhlA-a4_9241xgN6_hdg,495000,221346485,1273
55,57,Skits By Sphe @UC7OJqnWqGY9GTXjYatkQEPQ,341K,0.6%,South Africa,,102.3K,Skits By Sphe ,UC7OJqnWqGY9GTXjYatkQEPQ,395000,64822858,303
56,58,Reinhardt Buhr @UCCD_GyqAJ2w5UpH9R4yIEjw,328K,-,South Africa,,98.4K,Reinhardt Buhr ,UCCD_GyqAJ2w5UpH9R4yIEjw,506000,52787096,170
57,59,Cassper Nyovest @UCZsEDryBFbqJ_oeOZB__hNw,327K,-,South Africa,,98.1K,Cassper Nyovest ,UCZsEDryBFbqJ_oeOZB__hNw,415000,98271127,28
58,60,Gemini Blessed TV @UCwIa8TXPdIdczCTkgdGvlSQ,326K,-,South Africa,,97.8K,Gemini Blessed TV ,UCwIa8TXPdIdczCTkgdGvlSQ,365000,44351858,231
59,61,Sean Kitching @UC3oFJp8_9KniTt_31-GcQKA,319K,0.1%,South Africa,,95.7K,Sean Kitching ,UC3oFJp8_9KniTt_31-GcQKA,349000,19724076,284
60,62,In Depth Cine @UCUodELQsFwF8dq0X-bK9FQQ,318K,-,South Africa,,95.4K,In Depth Cine ,UCUodELQsFwF8dq0X-bK9FQQ,410000,21483159,206
61,63,Cars.co.za @UCB-mfYAd3oJLEkoMxjRAxbg,314K,0.1%,South Africa,Automotive,94.2K,Cars.co.za ,UCB-mfYAd3oJLEkoMxjRAxbg,388000,133319250,963
62,64,Anton Koen @UCDPicZC2OZKhd4ZhpeS1Mlw,312K,0.2%,South Africa,,93.6K,Anton Koen ,UCDPicZC2OZKhd4ZhpeS1Mlw,374000,178277971,497
63,65,William Last KRM @UClHh8adR12eC41xCPPuBmBQ,311K,0.2%,South Africa,,93.3K,William Last KRM ,UClHh8adR12eC41xCPPuBmBQ,2090000,739441807,413
64,66,SamupertyZuluTV @UC7Zn__KZqh8QFA-PGnpJcOg,306K,0.9%,South Africa,,91.8K,SamupertyZuluTV ,UC7Zn__KZqh8QFA-PGnpJcOg,318000,6977133,154
65,67,United Oromia @UCG9iFxTnt5MapeJ0rz7AJFA,295K,-,South Africa,Celebrity Music,88.5K,United Oromia ,UCG9iFxTnt5MapeJ0rz7AJFA,362000,39882169,1590
66,68,Mafikizolo @UCqyuB-Y1zGRwO8wRNYGW92A,292K,16.4%,South Africa,,87.6K,Mafikizolo ,UCqyuB-Y1zGRwO8wRNYGW92A,362000,117247935,4
67,69,RockSteady Creatives @UC-NUnxjx_g2Chj4riFdpDmw,288K,-,South Africa,,86.4K,RockSteady Creatives ,UC-NUnxjx_g2Chj4riFdpDmw,284000,7658,7
68,70,We Love Africa @UCX80qmC9baw6HXrSjfybdmQ,284K,-,South Africa,,85.2K,We Love Africa ,UCX80qmC9baw6HXrSjfybdmQ,587000,90080199,484
69,71,Makhadzi @UCSyGLZWpjz1hsIUvwAu9gaQ,283K,2.3%,South Africa,,84.9K,Makhadzi ,UCSyGLZWpjz1hsIUvwAu9gaQ,534000,191899553,140
70,72,Jack Bohloko @UCjOfF7d911dLcJWRavezk8A,279K,-,South Africa,,83.7K,Jack Bohloko ,UCjOfF7d911dLcJWRavezk8A,330000,133489159,614
71,73,Prince Kaybee @UCR7jIlutgJoNfcqq4GDoH2w,277K,-,South Africa,,83.1K,Prince Kaybee ,UCR7jIlutgJoNfcqq4GDoH2w,310000,148979850,32
